Location,Date of Listing,No. of Bedrooms,No. of Bathrooms,Area,Parking Availability,Furnishing Status,Apartment Name,Current Price
"Geddalahalli, Off Hennur-Bagalur Main Road / New Airport Road, Near Blessing Garden Layout, Byrathi, North Bangalore, Bangalore","2, 3 BHK Apartments",2 BHK,No Bathrooms,1060 sq.ft,Letter Box,No Furnishing Info,Serene Gardens,₹ 92.75 L
"Jinnagara, Hoskote, Bangalore East , Bangalore",Residential Plots,Residential Plot,No Bathrooms,1500 sq.ft,24X7 Water Supply,No Furnishing Info,JR Eastfields,₹ 78.27 L
"Whitefield, Bangalore East , Bangalore","3, 4 BHK Apartments",3 BHK,No Bathrooms,1690 sq.ft,Waiting Lounge,No Furnishing Info,Keya Around The Life,₹ 1.85 Cr
"Devanahalli, Bangalore",Residential Plots,Residential Plot,No Bathrooms,2325 sq.ft,Cricket Pitch,No Furnishing Info,Nitesh Long Island,₹ 1.28 Cr
"Survey No. 149 & 150, Begur Hobli, South Bangalore, Bangalore",3 BHK Apartment,3 BHK,No Bathrooms,1505 sq.ft,Volleyball Court,No Furnishing Info,CANVAS & COVE,₹ 1.68 Cr
"Whitefield Main Road, Sathya Sai Layout, Whitefield, Bangalore East , Bangalore",4 BHK Apartment,4 BHK,No Bathrooms,3044 sq.ft,Children's Play Area,No Furnishing Info,ASSETZ 66 & SHIBUI,₹ 4.28 Cr
"KIADB Hardware & IT Park, Near Shell Office, Devanahalli, North Bangalore, Bangalore","3, 4 BHK Apartments",3 BHK,No Bathrooms,1670 sq.ft,Amphitheater,No Furnishing Info,SORA & SAKI,₹ 1.78 Cr
"Whitefield, Bangalore East , Bangalore","2, 3 BHK Apartments",2 BHK,No Bathrooms,1025 sq.ft,Partial Power Backup,No Furnishing Info,Bold Aspire,₹ 66.61 L
"Hope Farm, Whitefield, Bangalore East , Bangalore","2.5, 3 BHK Apartments",2.5 BHK,No Bathrooms,1191 sq.ft,Waiting Lounge,No Furnishing Info,SBR One Residence,₹ 1.69 Cr
"Jaynagar 1st Block, Mountain Road, Jayanagar, South Bangalore, Bangalore",3 BHK Apartment,3 BHK,No Bathrooms,2150 sq.ft,Lift(s),No Furnishing Info,Unity By The Hills,₹ 2.52 Cr
"Sy No 6/7, Kasavanahalli, Bangalore East , Bangalore",2 BHK Apartment,2 BHK,No Bathrooms,1255 sq.ft,Waiting Lounge,No Furnishing Info,Sentient Eden,₹ 1.42 Cr
"Vidya Nagar Cross, Near Venkateshwara Eng. College, Yelahanka, North Bangalore, Bangalore",Residential Plots,Residential Plot,No Bathrooms,1200 sq.ft,24X7 Water Supply,No Furnishing Info,Sai Prakruthi Nivasaa,₹ 78.0 L
"Bannerghatta Main Road, South Bangalore, Bangalore",4 BHK Villa,4 BHK,No Bathrooms,2800 sq.ft,Children's Play Area,No Furnishing Info,Dwara Orville,₹ 1.92 Cr
"SY.No.73/9, 320 Balagere, Varthur Hobli, Bangalore East , Bangalore",3 BHK Apartment,3 BHK,No Bathrooms,1385 sq.ft,Gazebo,No Furnishing Info,Udbhav Gokulam,₹ 1.14 Cr
"Gunjur, Opposite to Gunjur Club, Varthur Hobli, Bangalore East , Bangalore","2, 3 BHK Apartments",2 BHK,No Bathrooms,1120 sq.ft,Children's Play Area,No Furnishing Info,Mathapathi Grand Field,₹ 1.27 Cr
"Neotown 100 Feet Road,Ecity Phase 1, South Bangalore, Bangalore","2, 3, 3.5 BHK Apartment,Duplexes",2 BHK,No Bathrooms,1188 sq.ft,Tennis Court,No Furnishing Info,Keya The Lake Terraes,₹ 1.05 Cr
"J.P Nagar, South Bangalore, Bangalore","3, 3.5, 4 BHK Apartments",3 BHK,No Bathrooms,2467 sq.ft,Reflexology Park,No Furnishing Info,Navins Antheia Poetry,₹ 4.23 Cr
"Off Maysore Road, Ramohalli, Bangalore West , Bangalore",Residential Plots,Residential Plot,No Bathrooms,1200 sq.ft,Children's Play Area,No Furnishing Info,Arohana Serenity,₹ 64.78 L
"Jakkur Lake, Nehru Nagar, Near Jakkur, North Bangalore, Bangalore","4, 5 BHK Villaments",4 BHK,No Bathrooms,3300 sq.ft,Waiting Lounge,No Furnishing Info,Keya Life By The Lake,₹ 3.86 Cr
"Begur, South Bangalore, Bangalore","2, 3 BHK Apartments",2 BHK,No Bathrooms,1277 sq.ft,Amphitheater,No Furnishing Info,CasaGrand Amor,₹ 90.0 L
"Panathur Road, Marathahalli, Varthur, Bangalore East , Bangalore","2, 3 BHK Apartments",2 BHK,No Bathrooms,1100 sq.ft,Waiting Lounge,No Furnishing Info,ATZ Areva,₹ 1.1 Cr
"Rachenahalli, Thanisandra, North Bangalore, Bangalore","3, 4 BHK Apartments",3 BHK,No Bathrooms,1500 sq.ft,Children's Play Area,No Furnishing Info,TVS Isle Of Trees,₹ 1.79 Cr
"Devanahalli Airport Road, Yelahanka, North Bangalore, Bangalore","2, 3 BHK Apartments",2 BHK,No Bathrooms,1157 sq.ft,Amphitheater,No Furnishing Info,Axis Oaklyn,₹ 98.15 L
"Sarjapura - Whitefield Main Road, Bangalore East , Bangalore","2, 3 BHK Apartments",2 BHK,No Bathrooms,1345 sq.ft,Waiting Lounge,No Furnishing Info,Abhee Celestial City,₹ 1.36 Cr
"Chikkakannalli, South Bangalore, Bangalore","Studio, 2, 3, 3.5 BHK Apartment,Studio Apartments",Studio,No Bathrooms,464 sq.ft,Amphitheater,No Furnishing Info,Godrej Lakeside Orchard,₹ 1.24 Cr
"Akkalenahalli- Mallenahalli Village, Kasaba Hobli, Devanahalli, North Bangalore, Bangalore","2, 3 BHK Apartments",2 BHK,No Bathrooms,746 sq.ft,Children's Play Area,No Furnishing Info,Birla Trimaya Phase I,₹ 99.03 L
"Yeshwantpur, Tumkur Road, Bangalore","3, 4 BHK Apartments",3 BHK,No Bathrooms,2200 sq.ft,Children's Play Area,No Furnishing Info,Godrej Yeshwanthpur,₹ 4.27 Cr
"Yelahanka, North Bangalore, Bangalore","2, 3 BHK Apartments",2 BHK,No Bathrooms,1085 sq.ft,Children's Play Area,No Furnishing Info,Shriram Codename Smash Hit,₹ 78.8 L
"KIADB Aerospace Park, Bagalur, North Bangalore, Bangalore","2, 3 BHK Apartments",2 BHK,No Bathrooms,998 sq.ft,Amphitheater,No Furnishing Info,Godrej Ananda Phase III,₹ 83.12 L
"Chikkagubbi, Chikkagubbi","2, 2.5, 3 BHK Apartments",2 BHK,No Bathrooms,934 sq.ft,Children's Play Area,No Furnishing Info,DNR Parklink Phase 2,₹ 1.37 Cr
